Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,7194.891602,7174.944824,7254.330078,7200.175781,7200.175781,0
2020-01-02,7202.550293,6935.269531,7212.155762,6985.469238,6985.469238,0
2020-01-03,6984.430664,6914.998535,7413.717773,7344.883301,7344.883301,0
2020-01-06,7410.454102,7409.295898,7781.864746,7769.216797,7769.216797,0
2020-01-07,7768.680176,7768.227051,8178.212891,8163.691895,8163.691895,0
2020-01-08,8161.933105,7956.772461,8396.735352,8079.860840,8079.860840,0
2020-01-09,8082.297363,7842.405273,8082.297363,7879.071777,7879.071777,0
2020-01-10,7878.308594,7726.774902,8166.551758,8166.551758,8166.551758,0
2020-01-13,8189.772949,8079.698730,8197.790039,8144.190918,8144.190918,0
2020-01-14,8140.935547,8140.935547,8879.511719,8827.761719,8827.761719,0
2020-01-15,8825.346680,8657.184570,8890.113281,8807.010742,8807.010742,0
2020-01-16,8812.482422,8612.092773,8846.458008,8723.788086,8723.788086,0
2020-01-17,8725.211914,8677.316406,8958.125000,8929.033203,8929.033203,0
2020-01-20,8704.629883,8560.470703,8745.593750,8657.641602,8657.641602,0
2020-01-21,8658.990234,8544.518555,8755.708984,8745.891602,8745.891602,0
2020-01-22,8744.208984,8636.750000,8792.994141,8680.879883,8680.879883,0
2020-01-23,8680.653320,8333.638672,8687.750000,8406.519531,8406.519531,0
2020-01-24,8405.565430,8266.840820,8514.667969,8445.432617,8445.432617,0
2020-01-27,8597.306641,8597.306641,8977.724609,8909.821289,8909.821289,0
2020-01-28,8912.521484,8908.448242,9358.589844,9358.589844,9358.589844,0
2020-01-29,9357.469727,9269.464844,9406.434570,9316.625977,9316.625977,0
2020-01-30,9316.017578,9230.900391,9553.124023,9508.994141,9508.994141,0
2020-01-31,9508.315430,9230.772461,9521.705078,9350.530273,9350.530273,0
2020-02-03,9344.685547,9248.631836,9540.373047,9293.524414,9293.524414,0
2020-02-04,9292.841797,9112.813477,9331.265625,9180.965820,9180.965820,0
2020-02-05,9183.418945,9163.702148,9701.296875,9613.424805,9613.424805,0
2020-02-06,9617.816406,9539.818359,9824.620117,9729.803711,9729.803711,0
2020-02-07,9725.999023,9725.999023,9834.717773,9795.941406,9795.941406,0
